2021-02-10 00:33:19,086 Extension .CR2 of IMG_8582.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8583.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8584.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8585.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8586.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8587.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8588.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8589.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8590.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8591.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8592.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8598.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8600.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8602.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8610.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8611.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8619.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8620.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8621.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8622.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8623.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8624.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8625.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8626.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8627.CR2 not recognized!, skipping...
2021-02-10 00:33:19,086 Extension .CR2 of IMG_8628.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8629.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8630.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8631.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8632.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8633.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8634.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8635.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8636.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8637.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8638.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8639.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8640.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8641.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8642.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8643.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8644.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8645.CR2 not recognized!, skipping...
2021-02-10 00:33:19,087 Extension .CR2 of IMG_8646.CR2 not recognized!, skipping...
